libid	batch	phylum	countgroup	taxon	taxid	sample_number	Reads avg. seq:	Reads max seq:	Reads median seq:	Reads min seq:	Reads N 50:	Reads total n:	Reads total seq:	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	bag	perc_reads_human	busco_lineage	Busco % C	Busco % S	Busco % D	Busco % F	Busco % M	Busco set size	mode_cov_dist	mapped_bases	genome_size_est	co1_Order	co1_Genus	co1_Species
P4_15	b3_b5	Arthropoda	Collembola	Mesaphorura macrochaeta	2651973	Gr-Coll-00123	111.78	150	115	50	141	15647695	1749170465	100	7045	111207	46.69	1221	745	24	55	bag1	40.67	arthropoda_odb10	0	0	0	0	100	1013				Poduromorpha	Ceratophysella	Ceratophysella aff. denticulata L3
P4_15	b3_b5	Arthropoda	Collembola	Mesaphorura macrochaeta	2651973	Gr-Coll-00123	111.78	150	115	50	141	15647695	1749170465	1604	10461	1222518	47.12	710	576	551	1034	bag2	40.67											Poduromorpha	Ceratophysella	Ceratophysella aff. denticulata L3
P4_15	b3_b5	Arthropoda	Collembola	Mesaphorura macrochaeta	2651973	Gr-Coll-00123	111.78	150	115	50	141	15647695	1749170465	17962	206594	20509984	59.83	1214	689	3231	9085	bag3	40.67	arthropoda_odb10	3.8	2.8	1	2.7	93.5	1013				Poduromorpha	Ceratophysella	Ceratophysella aff. denticulata L3
P4_16	b3_b5	Arthropoda	Collembola	Parisotoma notabilis	187682	Gr-Coll-00126	131.55	150	150	50	150	44444279	5846546073	21453	40847	49144014	35.8	3142	1778	4394	9592	bag1	1.09	arthropoda_odb10	42.7	40.8	1.9	27	30.3	1013				Entomobryomorpha	Parisotoma	Parisotoma aff. notabilis L0
P4_16	b3_b5	Arthropoda	Collembola	Parisotoma notabilis	187682	Gr-Coll-00126	131.55	150	150	50	150	44444279	5846546073	124024	40847	180669585	34.05	1860	1007	25653	58969	bag2	1.09	arthropoda_odb10	47.1	44.4	2.7	32.1	20.8	1013				Entomobryomorpha	Parisotoma	Parisotoma aff. notabilis L0
P4_16	b3_b5	Arthropoda	Collembola	Parisotoma notabilis	187682	Gr-Coll-00126	131.55	150	150	50	150	44444279	5846546073	127352	44968	185517351	34.42	1860	1005	26135	60407	bag3	1.09	arthropoda_odb10	47.8	45.1	2.7	31.1	21.1	1013				Entomobryomorpha	Parisotoma	Parisotoma aff. notabilis L0
P4_17	b3_b5	Arthropoda	Acari	Carabodes femoralis	229793	Gr-Ori-00150	115.34	150	124	50	150	43554338	5023403607	10425	31778	17067138	35.57	1957	1208	2536	5329	bag1	6.92	arachnida_odb10	48.4	47.8	0.6	10	41.6	2934				Ixodida	Rhipicephalus	Rhipicephalus microplus
P4_17	b3_b5	Arthropoda	Acari	Carabodes femoralis	229793	Gr-Ori-00150	115.34	150	124	50	150	43554338	5023403607	65420	31778	69256325	31.76	1137	740	17517	36561	bag2	6.92	arachnida_odb10	56	55.2	0.8	11.8	32.2	2934				Ixodida	Rhipicephalus	Rhipicephalus microplus
P4_17	b3_b5	Arthropoda	Acari	Carabodes femoralis	229793	Gr-Ori-00150	115.34	150	124	50	150	43554338	5023403607	118224	271633	141462345	46.31	1292	761	23465	59859	bag3	6.92	arachnida_odb10	58.6	55.2	3.4	11.9	29.5	2934				Ixodida	Rhipicephalus	Rhipicephalus microplus
P4_18	b3_b5	Arthropoda	Acari	Ceratozetes gracilis	1686620	Gr-Ori-00159	109.5	150	110	50	132	55050490	6027936548	9418	46805	28849865	36.05	4206	2420	2077	4324	bag1	5.54	arachnida_odb10	72.2	71.4	0.8	4.5	23.3	2934				Sarcoptiformes	Phenopelopidae-undef	Phenopelopidae sp. BOLD:ACE1301
P4_18	b3_b5	Arthropoda	Acari	Ceratozetes gracilis	1686620	Gr-Ori-00159	109.5	150	110	50	132	55050490	6027936548	56879	46805	92657962	33.44	2087	1151	11848	27007	bag2	5.54	arachnida_odb10	84.5	83.3	1.2	4.8	10.7	2934				Sarcoptiformes	Phenopelopidae-undef	Phenopelopidae sp. BOLD:ACE1301
P4_18	b3_b5	Arthropoda	Acari	Ceratozetes gracilis	1686620	Gr-Ori-00159	109.5	150	110	50	132	55050490	6027936548	69387	146412	109371040	37.29	2025	1096	13761	32390	bag3	5.54	arachnida_odb10	87	85.4	1.6	4.6	8.4	2934				Sarcoptiformes	Phenopelopidae-undef	Phenopelopidae sp. BOLD:ACE1301
P4_19	b3_b5	Arthropoda	Collembola	Neelus murinus	1348065	CS333	115.5	150	125	50	150	11664868	1347338608	15	1378	10760	50.13	628	578	6	10	bag1	49.86											Lithobiomorpha	Eukaryota-undef	uncultured eukaryote
P4_19	b3_b5	Arthropoda	Collembola	Neelus murinus	1348065	CS333	115.5	150	125	50	150	11664868	1347338608	568	3018	384606	53.74	636	556	224	386	bag2	49.86	arthropoda_odb10	0	0	0	0	100	1013				Lithobiomorpha	Eukaryota-undef	uncultured eukaryote
P4_19	b3_b5	Arthropoda	Collembola	Neelus murinus	1348065	CS333	115.5	150	125	50	150	11664868	1347338608	13899	261493	15280492	60.85	1109	680	2717	7253	bag3	49.86	arthropoda_odb10	3.1	2.6	0.5	2.8	94.1	1013				Lithobiomorpha	Eukaryota-undef	uncultured eukaryote
P4_2	b3_b5	Arthropoda	Acari	Eniochthonius minutissimus	229763	Gr-Ori-00031	117.61	150	130	50	150	35246681	4145264542	28	2462	21348	51.04	696	572	10	19	bag1	39.8	arachnida_odb10	0	0	0	0	100	2934				Malasseziales	Malassezia	Cerebratulus environmental sample
P4_2	b3_b5	Arthropoda	Acari	Eniochthonius minutissimus	229763	Gr-Ori-00031	117.61	150	130	50	150	35246681	4145264542	901	12846	662118	50.97	686	571	323	590	bag2	39.8	arachnida_odb10	0	0	0	0	100	2934				Malasseziales	Malassezia	Cerebratulus environmental sample
P4_2	b3_b5	Arthropoda	Acari	Eniochthonius minutissimus	229763	Gr-Ori-00031	117.61	150	130	50	150	35246681	4145264542	38222	212167	46081235	60.85	1299	744	6941	19027	bag3	39.8	arachnida_odb10	7.5	4.4	3.1	0.8	91.7	2934				Malasseziales	Malassezia	Cerebratulus environmental sample
P4_20	b3_b5	Arthropoda	Collembola	Sminthurinus elegans	1190784	CS332	133.67	150	150	50	150	64707621	8649162681	12936	103258	45557667	32.29	5155	2808	2248	5247	bag1	0.64	arthropoda_odb10	52.6	52.2	0.4	15.5	31.9	1013				Symphypleona	Sminthurinus	Sminthurinus elegans
P4_20	b3_b5	Arthropoda	Collembola	Sminthurinus elegans	1190784	CS332	133.67	150	150	50	150	64707621	8649162681	223680	103258	363340845	33.37	2216	1140	42801	100367	bag2	0.64	arthropoda_odb10	63.6	63.3	0.3	22.6	13.8	1013	12	8396694258	699724521.5	Symphypleona	Sminthurinus	Sminthurinus elegans
P4_20	b3_b5	Arthropoda	Collembola	Sminthurinus elegans	1190784	CS332	133.67	150	150	50	150	64707621	8649162681	226261	103258	367089374	33.49	2216	1136	43131	101384	bag3	0.64	arthropoda_odb10	64.5	64	0.5	22.4	13.1	1013				Symphypleona	Sminthurinus	Sminthurinus elegans
P4_21	b3_b5	Arthropoda	Collembola	Disparrhopalites patrizii		CS333	132.55	150	150	50	150	63014904	8352812500	5992	211470	109191117	37.69	31468	17551	1037	2194	bag1	1.61	arthropoda_odb10	81.7	80.2	1.5	2.4	15.9	1013				Lepidoptera	Cecidomyiidae-undef	Mortoniella denticulata
P4_21	b3_b5	Arthropoda	Collembola	Disparrhopalites patrizii		CS333	132.55	150	150	50	150	63014904	8352812500	48504	224531	300342530	37.5	15657	6578	4915	12285	bag2	1.61	arthropoda_odb10	90.9	88.9	2	3.2	5.9	1013				Lepidoptera	Cecidomyiidae-undef	Mortoniella denticulata
P4_21	b3_b5	Arthropoda	Collembola	Disparrhopalites patrizii		CS333	132.55	150	150	50	150	63014904	8352812500	50389	224531	305445914	37.58	15733	6575	4960	12431	bag3	1.61	arthropoda_odb10	92.7	90.8	1.9	3.2	4.1	1013				Lepidoptera	Cecidomyiidae-undef	Mortoniella denticulata
P4_22	b3_b5	Arthropoda	Collembola	Sminthurinus bimaculatus	187699	CS332	130.76	150	150	50	150	50394111	6589736574	8304	121534	89359725	34.95	17012	9645	1583	3329	bag1	1.01	arthropoda_odb10	75.6	74	1.6	5	19.4	1013				Symphypleona	Sminthurinus	Sminthurinus bimaculatus
P4_22	b3_b5	Arthropoda	Collembola	Sminthurinus bimaculatus	187699	CS332	130.76	150	150	50	150	50394111	6589736574	130710	121534	351161845	33.6	7950	2391	10708	30591	bag2	1.01	arthropoda_odb10	85.5	83.7	1.8	6.4	8.1	1013	2	6020227679	3010113840	Symphypleona	Sminthurinus	Sminthurinus bimaculatus
P4_22	b3_b5	Arthropoda	Collembola	Sminthurinus bimaculatus	187699	CS332	130.76	150	150	50	150	50394111	6589736574	135121	121534	357966752	33.73	7859	2309	10989	31703	bag3	1.01	arthropoda_odb10	86.5	84.4	2.1	6.3	7.2	1013				Symphypleona	Sminthurinus	Sminthurinus bimaculatus
P4_23	b3_b5	Arthropoda	Collembola	Megalothorax minimus	438500	CS332	121.41	150	134	50	150	5375924	652699993	1	597	597	41.37	597	597	1	1	bag1	71.77													
P4_23	b3_b5	Arthropoda	Collembola	Megalothorax minimus	438500	CS332	121.41	150	134	50	150	5375924	652699993	119	2761	80505	48.95	616	541	46	81	bag2	71.77	arthropoda_odb10	0	0	0	0	100	1013						
P4_23	b3_b5	Arthropoda	Collembola	Megalothorax minimus	438500	CS332	121.41	150	134	50	150	5375924	652699993	2889	8104	2646080	57.87	950	642	844	1708	bag3	71.77	arthropoda_odb10	0.9	0.9	0	0.9	98.2	1013						
P4_3	b3_b5	Arthropoda	Acari	Euzetes globulus	334610	Gr-Ori-00034	119.2	150	133	50	150	69002850	8224906317	5936	98675	57638291	33.49	16035	8861	1095	2311	bag1	16.63	arachnida_odb10	80.2	79.2	1	1.1	18.7	2934				Sarcoptiformes	Euzetes	Euzetes globulus
P4_3	b3_b5	Arthropoda	Acari	Euzetes globulus	334610	Gr-Ori-00034	119.2	150	133	50	150	69002850	8224906317	30866	98675	128642992	32.08	8019	3270	3959	10298	bag2	16.63	arachnida_odb10	92.1	90.7	1.4	1.3	6.6	2934	24	6433549361	268064556.7	Sarcoptiformes	Euzetes	Euzetes globulus
P4_3	b3_b5	Arthropoda	Acari	Euzetes globulus	334610	Gr-Ori-00034	119.2	150	133	50	150	69002850	8224906317	31305	98675	131341293	32.13	8125	3305	3995	10387	bag3	16.63	arachnida_odb10	95.2	93.8	1.4	1.2	3.6	2934				Sarcoptiformes	Euzetes	Euzetes globulus
P4_4	b3_b5	Arthropoda	Acari	Galumna lanceata	229834	Gr-Ori-00037	129.21	150	150	50	150	70279760	9080593548	7229	70115	49993345	29.75	11391	6301	1326	2804	bag1	4.74	arachnida_odb10	82.6	81.5	1.1	1.8	15.6	2934	37	4566638717	123422668	Sarcoptiformes	Pergalumna	Pergalumna sp. BOLD:AAX1496
P4_4	b3_b5	Arthropoda	Acari	Galumna lanceata	229834	Gr-Ori-00037	129.21	150	150	50	150	70279760	9080593548	62755	70115	165258384	27.56	4763	2008	8443	22034	bag2	4.74	arachnida_odb10	91.2	89.8	1.4	2.1	6.7	2934	18	8168176121	453787562.3	Sarcoptiformes	Pergalumna	Pergalumna sp. BOLD:AAX1496
P4_4	b3_b5	Arthropoda	Acari	Galumna lanceata	229834	Gr-Ori-00037	129.21	150	150	50	150	70279760	9080593548	71045	431715	179070929	29.58	4615	1898	9118	24512	bag3	4.74	arachnida_odb10	93.3	91.7	1.6	2.1	4.6	2934				Sarcoptiformes	Pergalumna	Pergalumna sp. BOLD:AAX1496
P4_5	b3_b5	Arthropoda	Acari	Malaconothrus monodactylus	1797415	Gr-Ori-00043	114.94	150	121	50	141	47656138	5477380930	9293	79260	50231295	29.32	9494	4891	1535	3364	bag1	3.87	arachnida_odb10	82.5	81.5	1	2.8	14.7	2934	29	2574025847	88759511.97	Sarcoptiformes	Neoliodidae-undef	Neoliodidae sp. BOLD:AAN6649
P4_5	b3_b5	Arthropoda	Acari	Malaconothrus monodactylus	1797415	Gr-Ori-00043	114.94	150	121	50	141	47656138	5477380930	55821	79260	126174002	28.57	4501	1592	6472	18585	bag2	3.87	arachnida_odb10	89.5	88.4	1.1	3.2	7.3	2934	2	4832660802	2416330401	Sarcoptiformes	Neoliodidae-undef	Neoliodidae sp. BOLD:AAN6649
P4_5	b3_b5	Arthropoda	Acari	Malaconothrus monodactylus	1797415	Gr-Ori-00043	114.94	150	121	50	141	47656138	5477380930	67847	79260	139407933	30.74	4034	1364	7730	23114	bag3	3.87	arachnida_odb10	91.2	90	1.2	3	5.8	2934				Sarcoptiformes	Neoliodidae-undef	Neoliodidae sp. BOLD:AAN6649
P4_6	b3_b5	Arthropoda	Acari	Minunthozetes semirufus	1979919	Gr-Ori-00046	113.56	150	120	50	142	9021334	1024462949	7234	16290	7843062	41.76	1153	805	2143	4185	bag1	28.87	arachnida_odb10	30	29.6	0.4	9.8	60.2	2934	6	122880749	20480124.83	Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_6	b3_b5	Arthropoda	Acari	Minunthozetes semirufus	1979919	Gr-Ori-00046	113.56	150	120	50	142	9021334	1024462949	27152	16290	23278273	37.13	854	635	8799	16769	bag2	28.87	arachnida_odb10	36.6	36.1	0.5	11.8	51.6	2934	2	400004484	200002242	Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_6	b3_b5	Arthropoda	Acari	Minunthozetes semirufus	1979919	Gr-Ori-00046	113.56	150	120	50	142	9021334	1024462949	30868	266056	29816267	42.34	944	661	8245	17799	bag3	28.87	arachnida_odb10	36.2	35	1.2	10.5	53.3	2934				Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_7	b3_b5	Arthropoda	Acari	Dissorhina ornata	2202870	Gr-Ori-00055	129.51	150	150	50	150	59983657	7768278677	8081	63333	41762692	30.5	8345	4413	1391	3127	bag1	13.17	arachnida_odb10	75.1	74.1	1	3.5	21.4	2934	46	3007631090	65383284.57	Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_7	b3_b5	Arthropoda	Acari	Dissorhina ornata	2202870	Gr-Ori-00055	129.51	150	150	50	150	59983657	7768278677	54867	92040	131031899	26.59	3970	1842	8165	20434	bag2	13.17	arachnida_odb10	86.2	84.9	1.3	4.1	9.7	2934	1	5754289295	5754289295	Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_7	b3_b5	Arthropoda	Acari	Dissorhina ornata	2202870	Gr-Ori-00055	129.51	150	150	50	150	59983657	7768278677	84012	120067	167622211	33.8	3420	1394	11278	30727	bag3	13.17	arachnida_odb10	89	86.4	2.6	3.5	7.5	2934				Sarcoptiformes	Oppiidae-undef	Oppiidae sp. BOLD:AAM7257
P4_8	b3_b5	Arthropoda	Acari	Eupelops occultus	2234141	Gr-Ori-00061	125.87	150	150	50	150	71501097	9000107164	8272	67028	33652201	32.44	6393	3423	1539	3334	bag1	2.64	arachnida_odb10	78.5	77.8	0.7	2.9	18.6	2934	59	3134582678	53128519.97	Sarcoptiformes	Eupelops	Eupelops sp. BOLD:AAL8123
P4_8	b3_b5	Arthropoda	Acari	Eupelops occultus	2234141	Gr-Ori-00061	125.87	150	150	50	150	71501097	9000107164	57222	67028	104571370	30.95	2803	1262	9014	23156	bag2	2.64	arachnida_odb10	87.5	86.8	0.7	3.5	9	2934	1	6788887159	6788887159	Sarcoptiformes	Eupelops	Eupelops sp. BOLD:AAL8123
P4_8	b3_b5	Arthropoda	Acari	Eupelops occultus	2234141	Gr-Ori-00061	125.87	150	150	50	150	71501097	9000107164	98436	568257	162620095	42.06	2418	1063	14605	40750	bag3	2.64	arachnida_odb10	90.1	87.4	2.7	3.3	6.6	2934				Sarcoptiformes	Eupelops	Eupelops sp. BOLD:AAL8123
P4_9	b3_b5	Arthropoda	Acari	Quadroppia maritalis	1250640	Gr-Ori-00064	127.71	150	150	50	150	50981953	6511130996	3806	176838	44196209	32.98	22760	11769	544	1223	bag1	10.87	arachnida_odb10	71.4	70.2	1.2	0.9	27.7	2934	60	3318189103	55303151.72	Sarcoptiformes	Peloptulus	Peloptulus phaenotus
P4_9	b3_b5	Arthropoda	Acari	Quadroppia maritalis	1250640	Gr-Ori-00064	127.71	150	150	50	150	50981953	6511130996	14205	197967	78017758	32.06	15393	5706	1221	3313	bag2	10.87	arachnida_odb10	90.3	88.7	1.6	1.3	8.4	2934	1	4968084473	4968084473	Sarcoptiformes	Peloptulus	Peloptulus phaenotus
P4_9	b3_b5	Arthropoda	Acari	Quadroppia maritalis	1250640	Gr-Ori-00064	127.71	150	150	50	150	50981953	6511130996	31270	627237	102407272	38.21	11436	3062	1846	6315	bag3	10.87	arachnida_odb10	95.4	92.9	2.5	1.5	3.1	2934				Sarcoptiformes	Peloptulus	Peloptulus phaenotus
a3_1	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00818	146.48	150	150	50	150	87342988	12794194005	1607	17185	3227598	44.83	2607	1569	380	773	bag1	0.45								27	438284344	16232753.48			
a3_1	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00818	146.48	150	150	50	150	87342988	12794194005	197710	29404	268004252	42.79	1663	984	49004	101511	bag2	0.45													
a3_1	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00818	146.48	150	150	50	150	87342988	12794194005	215817	586189	309205912	45.34	1769	1003	46757	105126	bag3	0.45													
a3_10	b11	Nematoda	Nematoda	Cuticularia oxycerca	55803	Gr-Nem-00825	147.02	150	150	50	150	75348976	11077633148	5479	205339	63212311	49.23	20937	11209	855	1884	bag1	0.04	nematoda_odb10	62	59.3	2.7	2	36	3131	47	4046859824	86103400.51			
a3_10	b11	Nematoda	Nematoda	Cuticularia oxycerca	55803	Gr-Nem-00825	147.02	150	150	50	150	75348976	11077633148	43929	232549	161576369	47.94	9917	3551	3836	10665	bag2	0.04	nematoda_odb10	79.9	75.6	4.3	2.8	17.3	3131						
a3_10	b11	Nematoda	Nematoda	Cuticularia oxycerca	55803	Gr-Nem-00825	147.02	150	150	50	150	75348976	11077633148	127984	1105325	320603598	52.61	6941	1702	7709	32732	bag3	0.04	nematoda_odb10	84.2	79	5.2	2.6	13.2	3131	2	10764248780	5382124390			
a3_11	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00826	146.34	150	150	50	150	96225899	14082068974	19577	254779	81190226	36.89	7337	3243	2109	6382	bag1	0.17	arthropoda_odb10	75.1	74.3	0.8	11.2	13.7	1013						
a3_11	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00826	146.34	150	150	50	150	96225899	14082068974	72726	254779	157463041	36.22	3540	1523	9112	26429	bag2	0.17	arthropoda_odb10	77.9	77.1	0.8	11.1	11	1013	41	13774106357	335953813.6			
a3_11	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00826	146.34	150	150	50	150	96225899	14082068974	77497	254779	161786364	36.83	3415	1445	9654	28271	bag3	0.17	arthropoda_odb10	78.1	77.3	0.8	11.4	10.5	1013	1	13829782655	13829782655			
a3_12	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00827	146.36	150	150	50	150	80046414	11715711034	19552	238672	84292559	36.84	8394	3334	1758	5931	bag1	0.15	arthropoda_odb10	75.7	74.9	0.8	11.1	13.2	1013	70	6646576653	94951095.04			
a3_12	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00827	146.36	150	150	50	150	80046414	11715711034	70497	238672	154536044	36.24	3645	1520	8015	24888	bag2	0.15	arthropoda_odb10	78.4	77.5	0.9	12.5	9.1	1013	34	11319364499	332922485.3			
a3_12	b11	Arthropoda	Collembola	Folsomia fimetaria	1387114	Gr-Col-00827	146.36	150	150	50	150	80046414	11715711034	80475	238672	169319783	38.48	3500	1427	9210	28700	bag3	0.15	arthropoda_odb10	79.6	78.7	0.9	10.8	9.6	1013	2	11502714849	5751357425			
a3_14	b11	Arthropoda	Collembola	Podura aquatica	50589	Gr-Col-00829	146.15	150	150	50	150	86966591	12710211959																							
a3_15	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus	2041938	Gr-Col-00833	147.77	150	150	50	150	83950245	12405510103	9400	451171	87428999	41.12	38616	9576	413	1690	bag1	0.33	arthropoda_odb10	63.4	62	1.4	10.1	26.5	1013						
a3_15	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus	2041938	Gr-Col-00833	147.77	150	150	50	150	83950245	12405510103	64234	451171	214447873	40.74	8459	2682	4172	15855	bag2	0.33	arthropoda_odb10	74.4	72.7	1.7	14	11.6	1013	36	11992374763	333121521.2			
a3_15	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus	2041938	Gr-Col-00833	147.77	150	150	50	150	83950245	12405510103	74791	451171	232544122	42.2	8075	2411	4740	18432	bag3	0.33	arthropoda_odb10	77.3	75	2.3	12.7	10	1013	1	12240436028	12240436028			
a3_16	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus f. flava	2041938	Gr-Col-00836	147.58	150	150	50	150	80168442	11831405725	10984	262799	73917654	41.29	15510	6099	986	2929	bag1	0.2	arthropoda_odb10	65.3	64.2	1.1	10.5	24.2	1013						
a3_16	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus f. flava	2041938	Gr-Col-00836	147.58	150	150	50	150	80168442	11831405725	76456	320657	217941372	40.71	5979	2226	7733	22910	bag2	0.2	arthropoda_odb10	72.6	71	1.6	14.2	13.2	1013	28	11528699607	411739271.7			
a3_16	b11	Arthropoda	Collembola	Deuterosminthurus bicinctus f. flava	2041938	Gr-Col-00836	147.58	150	150	50	150	80168442	11831405725	84455	320657	227186794	41.36	5747	2046	8257	25109	bag3	0.2	arthropoda_odb10	75.3	73.5	1.8	13.9	10.8	1013	1	11684455481	11684455481			
a3_18	b11	Arthropoda	Acari	Chamobates voigtsi	198262	Gr-Ori-00838	147.18	150	150	50	150	88448549	13018039428	9656	22206	27753577	34.59	3759	2360	2428	4750	bag1	23.25	arachnida_odb10	68.1	67.5	0.6	6.9	25	2934						
a3_18	b11	Arthropoda	Acari	Chamobates voigtsi	198262	Gr-Ori-00838	147.18	150	150	50	150	88448549	13018039428	52459	22206	94480331	31.39	2443	1366	11674	24610	bag2	23.25	arachnida_odb10	76.6	75.8	0.8	8.5	14.9	2934						
a3_18	b11	Arthropoda	Acari	Chamobates voigtsi	198262	Gr-Ori-00838	147.18	150	150	50	150	88448549	13018039428	58067	670566	120707265	38.07	2942	1523	9827	24140	bag3	23.25	arachnida_odb10	78.6	75.7	2.9	7.5	13.9	2934						
a3_2	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00819	146.77	150	150	50	150	78819085	11568443581	1429	18509	2596962	45.13	2339	1423	337	694	bag1	0.63													
a3_2	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00819	146.77	150	150	50	150	78819085	11568443581	205427	22308	242656155	43.38	1361	837	53383	110763	bag2	0.63								6	7798213744	1299702291			
a3_2	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00819	146.77	150	150	50	150	78819085	11568443581	243213	530445	305605929	47.29	1440	844	53778	124052	bag3	0.63													
a3_3	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00820	146.04	150	150	50	150	85632034	12505946350	1596	56399	10352702	43.96	12201	6069	245	542	bag1	0.3													
a3_3	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00820	146.04	150	150	50	150	85632034	12505946350	135572	112446	344537663	43.12	5411	1990	15411	41866	bag2	0.3													
a3_3	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00820	146.04	150	150	50	150	85632034	12505946350	175802	112446	394986539	44.09	4817	1592	18787	55233	bag3	0.3													
a3_4	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00821	146.22	150	150	50	150	78326641	11452974856	1614	25233	4367623	44.22	4016	2218	322	686	bag1	2.3													
a3_4	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00821	146.22	150	150	50	150	78326641	11452974856	176448	34950	306617766	42.54	2436	1268	35615	79416	bag2	2.3													
a3_4	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00821	146.22	150	150	50	150	78326641	11452974856	208089	69267	343730808	44.49	2316	1166	40456	93129	bag3	2.3													
a3_5	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00822	146.12	150	150	50	150	81780470	11950162324	1970	158094	9515293	43.84	10268	5132	262	588	bag1	0.24													
a3_5	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00822	146.12	150	150	50	150	81780470	11950162324	126815	158094	328674564	42.76	5100	2062	16075	41636	bag2	0.24													
a3_5	b11	Arthropoda	Tardigrada	Paramacrobiotus richtersi	697321	Gr-Tar-00822	146.12	150	150	50	150	81780470	11950162324	165543	158094	377490725	45.05	4534	1673	19772	54692	bag3	0.24													
a3_8	b11	Arthropoda	Collembola	Sphaeridia pumilis	212016	Gr-Col-00832	147	150	150	50	150	88378376	12991343970	9304	205313	113966543	41.93	23346	12390	1427	3098	bag1	0.31	arthropoda_odb10	89.7	35.8	53.9	2.8	7.5	1013						
a3_8	b11	Arthropoda	Collembola	Sphaeridia pumilis	212016	Gr-Col-00832	147	150	150	50	150	88378376	12991343970	45596	205313	224082623	41.73	12710	4625	4280	11625	bag2	0.31	arthropoda_odb10	94.2	30.5	63.7	2.3	3.5	1013						
a3_8	b11	Arthropoda	Collembola	Sphaeridia pumilis	212016	Gr-Col-00832	147	150	150	50	150	88378376	12991343970	51648	610663	251285558	43.79	12694	4643	4676	12898	bag3	0.31	arthropoda_odb10	95	28.4	66.6	2.1	2.9	1013	53	12733213497	240249311.3			
a3_9	b11	Nematoda	Nematoda	Panagrolaimus detritophagus	310956	Gr-Nem-00824	146.21	150	150	50	150	76904200	11244155305	11803	93760	36449224	29.08	5010	2454	1938	4535	bag1	0.02	nematoda_odb10	46.7	44.7	2	5.7	47.6	3131						
a3_9	b11	Nematoda	Nematoda	Panagrolaimus detritophagus	310956	Gr-Nem-00824	146.21	150	150	50	150	76904200	11244155305	66468	93760	132026485	28.5	3184	1451	10624	26115	bag2	0.02	nematoda_odb10	53.5	50.5	3	6.3	40.2	3131						
a3_9	b11	Nematoda	Nematoda	Panagrolaimus detritophagus	310956	Gr-Nem-00824	146.21	150	150	50	150	76904200	11244155305	154331	2054474	343865896	47.71	4350	1491	13148	48599	bag3	0.02	nematoda_odb10	53.6	49.5	4.1	6.3	40.1	3131	2	10979230861	5489615431			
a1	b10	Arthropoda	Oribatida	Adoristes ovatus	708363	Gr-Ori-00725	147.17	150	150	50	150	69781981	10269697808	99614	460512	169718751	35.27	2353	1221	19286	44530	bag3		arthropoda_odb10	79.4	78.8	0.6	8.7	11.9	1013	8	9275851251	1159481406	Sarcoptiformes	Eupterotegaeus	Eupterotegaeus sp. BOLD:AAM3656
a10	b10	Arthropoda	Oribatida	Edwardzetes edwardsi	2202872	Gr-Ori-00734	147.47	150	150	50	150	83751447	12350736814	6010	95279	44584622	33.89	12278	6537	1060	2305	bag1		arthropoda_odb10	76.4	75.5	0.9	3.3	20.3	1013	66	4228256248	64064488.61	Sarcoptiformes	Oribatellidae-undef	Oribatellidae sp. BOLD:ADG3275
